what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395568704215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395568708610
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395568709999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1395568710479
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395568711909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395568715810
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395568718875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1395568719516
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1395568720387
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1395568720544
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1395568720661
error,log,,,"offset 63 is out of [0, 62]",1395568721370
error,log,,,"offset 16 is out of [0, 15]",1395568721406
error,log,,,"offset 63 is out of [0, 62]",1395568721426
error,log,,,"offset 16 is out of [0, 15]",1395568721441
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1395568721490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1395568722955
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1395568734437
error,log,,,"Errors occurred during the build.",1395568734474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395568752404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395568760408
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1395568763810
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1395568764121
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1395568764867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1395568765625
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1395568766371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395568770797
